z,a,m,e,half_life
0,1, ,nn,614.6
1,1, ,H,0.0
1,2, ,H,0.0
1,3, ,H,3.8910502e8
1,4, ,H,1.3899999e-22
1,5, ,H,9.100001e-22
1,6, ,H,2.9e-22
1,7, ,H,2.3e-23
2,3, ,He,0.0
2,4, ,He,0.0
2,5, ,He,7.0e-22
2,6, ,He,0.80810004
2,7, ,He,2.9000001e-21
2,8, ,He,0.122
2,9, ,He,7.0e-21
2,10, ,He,2.7000001e-21
3,4, ,Li,9.1e-23
3,5, ,Li,3.7e-22
3,6, ,Li,0.0
3,7, ,Li,0.0
3,8, ,Li,0.838
3,9, ,Li,0.1783
3,10, ,Li,2.0e-21
3,11, ,Li,0.00875
3,12, ,Li,1.0e-8
4,5, ,Be,1.0e-9
4,6, ,Be,5.0e-21
4,7, ,Be,4.59821e6
4,8, ,Be,7.0e-17
4,9, ,Be,0.0
4,10, ,Be,5.04922e13
4,11, ,Be,13.81
4,12, ,Be,0.021300001
4,13, ,Be,5.0e-10
4,14, ,Be,0.00435
4,15, ,Be,2.0e-7
4,16, ,Be,2.0e-7
5,6, ,B,1.0e-9
5,7, ,B,3.5e-22
5,8, ,B,0.77
5,9, ,B,8.0e-19
5,10, ,B,0.0
5,11, ,B,0.0
5,12, ,B,0.0202
5,13, ,B,0.01733
5,14, ,B,0.0125
5,15, ,B,0.00987
5,16, ,B,1.9e-10
5,17, ,B,0.00508
5,18, ,B,2.5999999e-8
5,19, ,B,0.00292
6,8, ,C,2.0e-21
6,9, ,C,0.1265
6,10, ,C,19.29
6,11, ,C,1221.66
6,12, ,C,0.0
6,13, ,C,0.0
6,14, ,C,1.79874e11
6,15, ,C,2.449
6,16, ,C,0.747
6,17, ,C,0.19299999
6,18, ,C,0.092
6,19, ,C,0.0462
6,20, ,C,0.016
6,21, ,C,3.0e-8
6,22, ,C,0.0061999997
7,10, ,N,2.0e-22
7,11, ,N,5.9e-22
7,12, ,N,0.011
7,13, ,N,598.01996
7,14, ,N,0.0
7,15, ,N,0.0
7,16, ,N,7.13
7,17, ,N,4.17
7,18, ,N,0.622
7,19, ,N,0.271
7,20, ,N,0.13
7,21, ,N,0.087
7,22, ,N,0.0139
7,23, ,N,0.0145000005
7,24, ,N,5.1999997e-8
7,25, ,N,2.5999998e-7
8,12, ,O,5.8e-22
8,13, ,O,0.00858
8,14, ,O,70.605995
8,15, ,O,122.46
8,16, ,O,0.0
8,17, ,O,0.0
8,18, ,O,0.0
8,19, ,O,26.91
8,20, ,O,13.509999
8,21, ,O,3.42
8,22, ,O,2.25
8,23, ,O,0.09
8,24, ,O,0.065
8,25, ,O,5.0e-8
8,26, ,O,4.0e-8
8,27, ,O,2.5999998e-7
8,28, ,O,1.0e-7
9,14, ,F,1.0e-9
9,15, ,F,4.1e-22
9,16, ,F,1.10000005e-20
9,17, ,F,64.49
9,18, ,F,6584.04
9,19, ,F,0.0
9,20, ,F,11.030001
9,21, ,F,4.158
9,22, ,F,4.23
9,23, ,F,2.23
9,24, ,F,0.4
9,25, ,F,0.05
9,26, ,F,0.010199999
9,27, ,F,0.0049
9,28, ,F,4.0e-8
9,29, ,F,0.0026
9,30, ,F,2.5999998e-7
9,31, ,F,0.001
10,16, ,Ne,9.0e-21
10,17, ,Ne,0.1092
10,18, ,Ne,1.672
10,19, ,Ne,17.22
10,20, ,Ne,0.0
10,21, ,Ne,0.0
10,22, ,Ne,0.0
10,23, ,Ne,37.2
10,24, ,Ne,202.80002
10,25, ,Ne,0.602
10,26, ,Ne,0.197
10,27, ,Ne,0.032
10,28, ,Ne,0.0183
10,29, ,Ne,0.0156
10,30, ,Ne,0.0058000004
10,31, ,Ne,0.0034
10,32, ,Ne,0.0035
10,33, ,Ne,2.5999998e-7
10,34, ,Ne,0.001
11,18, ,Na,1.3e-21
11,19, ,Na,4.0e-8
11,20, ,Na,0.4479
11,21, ,Na,22.490002
11,22, ,Na,8.21395e7
11,23, ,Na,0.0
11,24, ,Na,53848.8
11,24,M,Na,0.0202
11,25, ,Na,59.6
11,26, ,Na,1.08
11,27, ,Na,0.301
11,28, ,Na,0.0305
11,29, ,Na,0.044899996
11,30, ,Na,0.0484
11,31, ,Na,0.017
11,32, ,Na,0.0128999995
11,33, ,Na,0.0082
11,34, ,Na,0.0055
11,35, ,Na,0.0015
11,36, ,Na,2.5999998e-7
11,37, ,Na,0.001
12,20, ,Mg,0.09
12,21, ,Mg,0.122
12,22, ,Mg,3.8755
12,23, ,Mg,11.317
12,24, ,Mg,0.0
12,25, ,Mg,0.0
12,26, ,Mg,0.0
12,27, ,Mg,567.48
12,28, ,Mg,75240.0
12,29, ,Mg,1.3
12,30, ,Mg,0.33499998
12,31, ,Mg,0.22999999
12,32, ,Mg,0.095
12,33, ,Mg,0.090500005
12,34, ,Mg,0.02
12,35, ,Mg,0.07
12,36, ,Mg,0.005
12,37, ,Mg,0.04
12,38, ,Mg,0.001
12,39, ,Mg,2.5999998e-7
12,40, ,Mg,0.001
13,21, ,Al,3.5e-8
13,22, ,Al,0.059
13,23, ,Al,0.46999997
13,24, ,Al,2.053
13,24,M,Al,0.1313
13,25, ,Al,7.183
13,26, ,Al,2.26263e13
13,26,M,Al,6.345
13,27, ,Al,0.0
13,28, ,Al,134.45999
13,29, ,Al,393.6
13,30, ,Al,3.65
13,31, ,Al,0.644
13,32, ,Al,0.033
13,33, ,Al,0.0417
13,34, ,Al,0.0563
13,35, ,Al,0.038599998
13,36, ,Al,0.09
13,37, ,Al,0.02
13,38, ,Al,0.04
13,39, ,Al,0.01
13,40, ,Al,0.01
13,41, ,Al,0.002
13,42, ,Al,0.001
14,22, ,Si,0.029000001
14,23, ,Si,4.23e-8
14,24, ,Si,0.14
14,25, ,Si,0.22
14,26, ,Si,2.234
14,27, ,Si,4.16
14,28, ,Si,0.0
14,29, ,Si,0.0
14,30, ,Si,0.0
14,31, ,Si,9432.0
14,32, ,Si,1.0413999e10
14,33, ,Si,6.18
14,34, ,Si,2.77
14,35, ,Si,0.78000003
14,36, ,Si,0.45
14,37, ,Si,0.09
14,38, ,Si,0.09
14,39, ,Si,0.09
14,40, ,Si,0.033
14,41, ,Si,0.03
14,42, ,Si,0.005
14,43, ,Si,0.015
14,44, ,Si,0.01
15,24, ,P,1.0e-9
15,25, ,P,3.0e-8
15,26, ,P,0.03
15,27, ,P,0.26
15,28, ,P,0.2703
15,29, ,P,4.142
15,30, ,P,149.88
15,31, ,P,0.0
15,32, ,P,1.23293e6
15,33, ,P,2.19309e6
15,34, ,P,12.4
15,35, ,P,47.3
15,36, ,P,5.6
15,37, ,P,2.31
15,38, ,P,0.64
15,39, ,P,0.19
15,40, ,P,0.15
15,41, ,P,0.15
15,42, ,P,0.120000005
15,43, ,P,0.033
15,44, ,P,0.03
15,45, ,P,0.008
15,46, ,P,0.004
16,26, ,S,0.01
16,27, ,S,0.021
16,28, ,S,0.125
16,29, ,S,0.187
16,30, ,S,1.178
16,31, ,S,2.5534
16,32, ,S,0.0
16,33, ,S,0.0
16,34, ,S,0.0
16,35, ,S,7.5384e6
16,36, ,S,0.0
16,37, ,S,299.4
16,38, ,S,10218.0
16,39, ,S,11.5
16,40, ,S,8.8
16,41, ,S,1.99
16,42, ,S,0.001013
16,43, ,S,0.26
16,44, ,S,0.123
16,45, ,S,0.081999995
16,46, ,S,0.03
16,47, ,S,0.02
16,48, ,S,0.01
16,49, ,S,2.0e-7
17,28, ,Cl,1.0e-9
17,29, ,Cl,2.0e-8
17,30, ,Cl,3.0e-8
17,31, ,Cl,0.15
17,32, ,Cl,0.298
17,33, ,Cl,2.511
17,34, ,Cl,1.526
17,34,M,Cl,1926.0
17,35, ,Cl,0.0
17,36, ,Cl,9.530191e12
17,37, ,Cl,0.0
17,38, ,Cl,2232.0
17,38,M,Cl,0.71500003
17,39, ,Cl,3336.0
17,40, ,Cl,81.0
17,41, ,Cl,38.399998
17,42, ,Cl,6.8
17,43, ,Cl,3.07
17,44, ,Cl,0.56
17,45, ,Cl,0.4
17,46, ,Cl,0.22
17,47, ,Cl,0.2
17,48, ,Cl,0.1
17,49, ,Cl,0.05
17,50, ,Cl,0.02
17,51, ,Cl,0.002
18,30, ,Ar,2.0e-8
18,31, ,Ar,0.014400001
18,32, ,Ar,0.098000005
18,33, ,Ar,0.17300001
18,34, ,Ar,0.84379995
18,35, ,Ar,1.7756
18,36, ,Ar,0.0
18,37, ,Ar,3.02486e6
18,38, ,Ar,0.0
18,39, ,Ar,8.4889897e9
18,40, ,Ar,0.0
18,41, ,Ar,6576.48
18,42, ,Ar,1.04139994e9
18,43, ,Ar,322.19998
18,44, ,Ar,712.2
18,45, ,Ar,21.48
18,46, ,Ar,8.4
18,47, ,Ar,0.58000004
18,48, ,Ar,0.5
18,49, ,Ar,0.17
18,50, ,Ar,0.085
18,51, ,Ar,0.06
18,52, ,Ar,0.01
18,53, ,Ar,0.003
19,32, ,K,1.0e-9
19,33, ,K,2.5e-8
19,34, ,K,4.0e-8
19,35, ,K,0.178
19,36, ,K,0.342
19,37, ,K,1.225
19,38, ,K,456.6
19,38,M,K,0.92399997
19,39, ,K,0.0
19,40, ,K,3.94588e16
19,41, ,K,0.0
19,42, ,K,44492.402
19,43, ,K,79920.0
19,44, ,K,1327.8
19,45, ,K,1068.6001
19,46, ,K,104.99999
19,47, ,K,17.5
19,48, ,K,6.8
19,49, ,K,1.26
19,50, ,K,0.47199997
19,51, ,K,0.365
19,52, ,K,0.105
19,53, ,K,0.03
19,54, ,K,0.01
19,55, ,K,0.003
20,34, ,Ca,3.5e-8
20,35, ,Ca,0.0257
20,36, ,Ca,0.102
20,37, ,Ca,0.1811
20,38, ,Ca,0.44
20,39, ,Ca,0.85959995
20,40, ,Ca,0.0
20,41, ,Ca,3.162e12
20,42, ,Ca,0.0
20,43, ,Ca,0.0
20,44, ,Ca,0.0
20,45, ,Ca,1.40521e7
20,46, ,Ca,0.0
20,47, ,Ca,392083.0
20,48, ,Ca,1.6725499e27
20,49, ,Ca,523.2
20,50, ,Ca,13.9
20,51, ,Ca,10.0
20,52, ,Ca,4.6
20,53, ,Ca,0.09
20,54, ,Ca,0.05
20,55, ,Ca,0.03
20,56, ,Ca,0.01
20,57, ,Ca,0.005
21,36, ,Sc,1.0e-9
21,37, ,Sc,1.0e-9
21,38, ,Sc,3.0e-7
21,39, ,Sc,3.0e-7
21,40, ,Sc,0.1823
21,41, ,Sc,0.5963
21,42, ,Sc,0.6808
21,42,M,Sc,62.0
21,43, ,Sc,14007.601
21,44, ,Sc,14292.001
21,44,M,Sc,210960.0
21,45, ,Sc,0.0
21,45,M,Sc,0.325
21,46, ,Sc,7.2392e6
21,46,M,Sc,18.7
21,47, ,Sc,289310.0
21,48, ,Sc,157212.0
21,49, ,Sc,3432.0
21,50, ,Sc,102.5
21,50,M,Sc,0.35
21,51, ,Sc,12.4
21,52, ,Sc,8.2
21,53, ,Sc,3.0
21,54, ,Sc,0.26
21,55, ,Sc,0.120000005
21,56, ,Sc,0.08
21,57, ,Sc,0.012999999
21,58, ,Sc,0.012
21,59, ,Sc,0.01
21,60, ,Sc,0.003
22,38, ,Ti,1.2000001e-7
22,39, ,Ti,0.031
22,40, ,Ti,0.0533
22,41, ,Ti,0.0809
22,42, ,Ti,0.199
22,43, ,Ti,0.509
22,44, ,Ti,1.89342e9
22,45, ,Ti,11088.001
22,46, ,Ti,0.0
22,47, ,Ti,0.0
22,48, ,Ti,0.0
22,49, ,Ti,0.0
22,50, ,Ti,0.0
22,51, ,Ti,348.0
22,52, ,Ti,102.0
22,53, ,Ti,32.7
22,54, ,Ti,1.5
22,55, ,Ti,0.49
22,56, ,Ti,0.164
22,57, ,Ti,0.06
22,58, ,Ti,0.054
22,59, ,Ti,0.03
22,60, ,Ti,0.022
22,61, ,Ti,0.01
22,62, ,Ti,0.01
22,63, ,Ti,0.003
23,40, ,V,1.0e-9
23,41, ,V,1.0e-9
23,42, ,V,5.5e-8
23,43, ,V,0.08
23,44, ,V,0.111
23,44,M,V,0.15
23,45, ,V,0.547
23,46, ,V,0.42249998
23,46,M,V,0.00102
23,47, ,V,1956.0
23,48, ,V,1.38015e6
23,49, ,V,2.8512002e7
23,50, ,V,4.41797e24
23,51, ,V,0.0
23,52, ,V,224.7
23,53, ,V,97.200005
23,54, ,V,49.8
23,55, ,V,6.54
23,56, ,V,0.216
23,57, ,V,0.35
23,58, ,V,0.191
23,59, ,V,0.075
23,60, ,V,0.122
23,61, ,V,0.047
23,62, ,V,0.0335
23,63, ,V,0.017
23,64, ,V,0.01
23,65, ,V,0.01
24,42, ,Cr,0.0139999995
24,43, ,Cr,0.0216
24,44, ,Cr,0.054
24,45, ,Cr,0.05
24,45,M,Cr,0.001
24,46, ,Cr,0.26
24,47, ,Cr,0.5
24,48, ,Cr,77616.0
24,49, ,Cr,2514.0
24,50, ,Cr,5.68037e24
24,51, ,Cr,2.39363e6
24,52, ,Cr,0.0
24,53, ,Cr,0.0
24,54, ,Cr,0.0
24,55, ,Cr,212.40001
24,56, ,Cr,356.4
24,57, ,Cr,21.099998
24,58, ,Cr,7.0
24,59, ,Cr,0.45999998
24,60, ,Cr,0.56
24,61, ,Cr,0.26099998
24,62, ,Cr,0.199
24,63, ,Cr,0.129
24,64, ,Cr,0.043
24,65, ,Cr,0.027
24,66, ,Cr,0.01
24,67, ,Cr,0.01
25,44, ,Mn,1.05e-7
25,45, ,Mn,7.0e-8
25,46, ,Mn,0.037
25,46,M,Mn,0.001
25,47, ,Mn,0.1
25,48, ,Mn,0.1581
25,49, ,Mn,0.382
25,50, ,Mn,0.28318998
25,50,M,Mn,104.99999
25,51, ,Mn,2772.0
25,52, ,Mn,483408.03
25,52,M,Mn,1272.0
25,53, ,Mn,1.16132e14
25,54, ,Mn,2.69732e7
25,55, ,Mn,0.0
25,56, ,Mn,9283.61
25,57, ,Mn,85.4
25,58, ,Mn,65.2
25,58,M,Mn,2.7
25,59, ,Mn,4.59
25,60, ,Mn,51.0
25,60,M,Mn,1.77
25,61, ,Mn,0.66999996
25,62, ,Mn,0.88
25,62,M,Mn,0.092
25,63, ,Mn,0.275
25,64, ,Mn,0.0888
25,65, ,Mn,0.092
25,66, ,Mn,0.0644
25,67, ,Mn,0.045
25,68, ,Mn,0.027999999
25,69, ,Mn,0.0139999995
26,45, ,Fe,0.0049
26,46, ,Fe,0.009
26,47, ,Fe,0.0218
26,48, ,Fe,0.044
26,49, ,Fe,0.07
26,50, ,Fe,0.155
26,51, ,Fe,0.305
26,52, ,Fe,29782.8
26,52,M,Fe,45.9
26,53, ,Fe,510.6
26,53,M,Fe,154.8
26,54, ,Fe,0.0
26,55, ,Fe,8.66869e7
26,56, ,Fe,0.0
26,57, ,Fe,0.0
26,58, ,Fe,0.0
26,59, ,Fe,3.84428e6
26,60, ,Fe,4.7336403e13
26,61, ,Fe,358.80002
26,62, ,Fe,68.0
26,63, ,Fe,6.1
26,64, ,Fe,2.0
26,65, ,Fe,1.3
26,66, ,Fe,0.44
26,67, ,Fe,0.394
26,68, ,Fe,0.187
26,69, ,Fe,0.109000005
26,70, ,Fe,0.094
26,71, ,Fe,0.03
26,72, ,Fe,0.01
27,47, ,Co,1.0e-9
27,48, ,Co,1.0e-9
27,49, ,Co,3.5e-8
27,50, ,Co,0.044
27,51, ,Co,0.06
27,52, ,Co,0.114999995
27,52,M,Co,0.103999995
27,53, ,Co,0.24000001
27,53,M,Co,0.24700001
27,54, ,Co,0.19328001
27,54,M,Co,88.8
27,55, ,Co,63108.0
27,56, ,Co,6.67319e6
27,57, ,Co,2.34835e7
27,58, ,Co,6.12144e6
27,58,M,Co,32760.0
27,59, ,Co,0.0
27,60, ,Co,1.6634e8
27,60,M,Co,628.02
27,61, ,Co,5940.0
27,62, ,Co,92.399994
27,62,M,Co,834.6
27,63, ,Co,27.4
27,64, ,Co,0.3
27,65, ,Co,1.2
27,66, ,Co,0.2
27,67, ,Co,0.425
27,68, ,Co,0.2
27,68,M,Co,1.6
27,69, ,Co,0.227
27,70, ,Co,0.119
27,70,M,Co,0.5
27,71, ,Co,0.096999995
27,72, ,Co,0.09
27,73, ,Co,0.08
27,74, ,Co,0.05
27,75, ,Co,0.04
28,48, ,Ni,0.01
28,49, ,Ni,0.012999999
28,50, ,Ni,0.0091
28,51, ,Ni,0.03
28,52, ,Ni,0.038
28,53, ,Ni,0.045
28,54, ,Ni,0.103999995
28,55, ,Ni,0.2047
28,56, ,Ni,524880.0
28,57, ,Ni,129253.99
28,58, ,Ni,2.20903e28
28,59, ,Ni,2.39833e12
28,60, ,Ni,0.0
28,61, ,Ni,0.0
28,62, ,Ni,0.0
28,63, ,Ni,3.11467e9
28,64, ,Ni,0.0
28,65, ,Ni,9072.0
28,66, ,Ni,195840.0
28,67, ,Ni,21.0
28,68, ,Ni,29.0
28,69, ,Ni,11.4
28,69,M,Ni,3.5
28,70, ,Ni,6.0
28,71, ,Ni,2.56
28,72, ,Ni,1.57
28,73, ,Ni,0.84
28,74, ,Ni,0.68
28,75, ,Ni,0.6
28,76, ,Ni,0.46999997
28,77, ,Ni,0.3
28,78, ,Ni,0.2
29,52, ,Cu,1.0e-9
29,53, ,Cu,3.0e-7
29,54, ,Cu,7.5e-8
29,55, ,Cu,0.04
29,56, ,Cu,0.093
29,57, ,Cu,0.1963
29,58, ,Cu,3.204
29,59, ,Cu,81.5
29,60, ,Cu,1422.0
29,61, ,Cu,12117.601
29,62, ,Cu,585.0
29,63, ,Cu,0.0
29,64, ,Cu,45721.402
29,65, ,Cu,0.0
29,66, ,Cu,306.0
29,67, ,Cu,222840.0
29,68, ,Cu,31.099998
29,68,M,Cu,225.0
29,69, ,Cu,171.0
29,70, ,Cu,44.5
29,70,M,Cu,33.0
29,70,N,Cu,6.6
29,71, ,Cu,19.400002
29,72, ,Cu,6.63
29,73, ,Cu,4.2
29,74, ,Cu,1.594
29,75, ,Cu,1.224
29,76, ,Cu,0.641
29,76,M,Cu,1.27
29,77, ,Cu,0.469
29,78, ,Cu,0.342
29,79, ,Cu,0.188
29,80, ,Cu,0.1
30,54, ,Zn,1.0e-9
30,55, ,Zn,0.02
30,56, ,Zn,0.036
30,57, ,Zn,0.038
30,58, ,Zn,0.084
30,59, ,Zn,0.18200001
30,60, ,Zn,142.8
30,61, ,Zn,89.1
30,61,M,Zn,0.43
30,61,N,Zn,0.14
30,61,O,Zn,0.13
30,62, ,Zn,33094.8
30,63, ,Zn,2299.7998
30,64, ,Zn,7.25825e25
30,65, ,Zn,2.10825e7
30,66, ,Zn,0.0
30,67, ,Zn,0.0
30,68, ,Zn,0.0
30,69, ,Zn,3384.0
30,69,M,Zn,49608.0
30,70, ,Zn,0.0
30,71, ,Zn,147.0
30,71,M,Zn,14256.001
30,72, ,Zn,167400.0
30,73, ,Zn,23.5
30,73,M,Zn,13.0
30,73,N,Zn,5.8
30,74, ,Zn,95.600006
30,75, ,Zn,10.2
30,76, ,Zn,5.7
30,77, ,Zn,2.08
30,77,M,Zn,1.05
30,78, ,Zn,1.47
30,79, ,Zn,0.995
30,80, ,Zn,0.54
30,81, ,Zn,0.29000002
30,82, ,Zn,0.1
30,83, ,Zn,0.08
31,56, ,Ga,1.0e-9
31,57, ,Ga,1.0e-9
31,58, ,Ga,1.0e-9
31,59, ,Ga,1.0e-9
31,60, ,Ga,0.07
31,61, ,Ga,0.168
31,62, ,Ga,0.116120994
31,63, ,Ga,32.4
31,64, ,Ga,157.62
31,65, ,Ga,912.0
31,66, ,Ga,34164.0
31,67, ,Ga,281776.0
31,68, ,Ga,4069.7998
31,69, ,Ga,0.0
31,70, ,Ga,1268.3999
31,71, ,Ga,0.0
31,72, ,Ga,50760.004
31,72,M,Ga,0.03968
31,73, ,Ga,17496.0
31,74, ,Ga,487.2
31,74,M,Ga,9.5
31,75, ,Ga,126.0
31,76, ,Ga,32.6
31,77, ,Ga,13.0
31,78, ,Ga,5.09
31,79, ,Ga,2.847
31,80, ,Ga,1.676
31,81, ,Ga,1.217
31,82, ,Ga,0.599
31,83, ,Ga,0.308
31,84, ,Ga,0.085
31,85, ,Ga,0.05
31,86, ,Ga,0.03
32,58, ,Ge,1.0e-9
32,59, ,Ge,1.0e-9
32,60, ,Ge,0.03
32,61, ,Ge,0.039
32,62, ,Ge,0.13
32,63, ,Ge,0.14199999
32,64, ,Ge,63.699997
32,65, ,Ge,30.9
32,66, ,Ge,8135.9995
32,67, ,Ge,1134.0
32,68, ,Ge,2.34101e7
32,69, ,Ge,140580.0
32,70, ,Ge,0.0
32,71, ,Ge,987552.0
32,71,M,Ge,0.020399999
32,72, ,Ge,0.0
32,73, ,Ge,0.0
32,73,M,Ge,0.5
32,74, ,Ge,0.0
32,75, ,Ge,4966.8003
32,75,M,Ge,48.0
32,76, ,Ge,4.9861003e28
32,77, ,Ge,40359.6
32,77,M,Ge,53.699997
32,78, ,Ge,5280.0
32,79, ,Ge,18.98
32,79,M,Ge,39.0
32,80, ,Ge,29.5
32,81, ,Ge,8.0
32,81,M,Ge,7.6
32,82, ,Ge,4.55
32,83, ,Ge,1.85
32,84, ,Ge,0.954
32,85, ,Ge,0.54
32,86, ,Ge,0.3
32,87, ,Ge,0.15
32,88, ,Ge,0.08
32,89, ,Ge,0.05
33,60, ,As,1.0e-9
33,60,M,As,1.0e-9
33,61, ,As,1.0e-9
33,62, ,As,1.0e-9
33,63, ,As,1.0e-9
33,64, ,As,0.04
33,65, ,As,0.17
33,66, ,As,0.095769994
33,67, ,As,42.5
33,68, ,As,151.6
33,69, ,As,913.7999
33,70, ,As,3156.0
33,71, ,As,235080.0
33,72, ,As,93600.0
33,73, ,As,6.93792e6
33,74, ,As,1.53619e6
33,75, ,As,0.0
33,75,M,As,0.01762
33,76, ,As,94392.01
33,77, ,As,139644.0
33,78, ,As,5442.0
33,79, ,As,540.60004
33,80, ,As,15.2
33,81, ,As,33.3
33,82, ,As,19.1
33,82,M,As,13.6
33,83, ,As,13.400001
33,84, ,As,4.02
33,84,M,As,0.65
33,85, ,As,2.04
33,86, ,As,0.945
33,87, ,As,0.61
33,88, ,As,0.3
33,89, ,As,0.2
33,90, ,As,0.08
33,91, ,As,0.05
33,92, ,As,0.03
34,65, ,Se,0.05
34,66, ,Se,0.033
34,67, ,Se,0.133
34,68, ,Se,35.5
34,69, ,Se,27.4
34,70, ,Se,2466.0
34,71, ,Se,284.40002
34,72, ,Se,725760.0
34,73, ,Se,25560.0
34,73,M,Se,2388.0
34,74, ,Se,0.0
34,75, ,Se,1.03491e7
34,76, ,Se,0.0
34,77, ,Se,0.0
34,77,M,Se,17.55
34,78, ,Se,0.0
34,79, ,Se,1.1897e13
34,79,M,Se,233.99998
34,80, ,Se,0.0
34,81, ,Se,1103.4
34,81,M,Se,3436.8
